top - 11:11:19 up  2:43,  4 users,  load average: 1.15, 0.45, 0.32
Tasks: 319 total,   2 running, 317 sleeping,   0 stopped,   0 zombie
%Cpu(s): 24.2 us, 24.2 sy,  0.0 ni, 50.5 id,  1.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3354.5 total,    429.7 free,   1436.6 used,   1806.2 buff/cache     
MiB Swap:   3530.0 total,   3526.0 free,      4.0 used.   1917.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  28970 sysadmin  20   0   13424   5448   3528 R  46.7   0.2   0:00.64 top
   2344 mellab6   20   0 3870588 295328 130740 S   6.7   8.6   8:20.66 gnome-s+
   3198 mellab6   20   0  559440  58208  44940 S   4.4   1.7   0:54.71 gnome-t+
  28748 root      20   0       0      0      0 R   4.4   0.0   0:12.48 kworker+
  28732 root      20   0       0      0      0 I   2.2   0.0   0:22.01 kworker+
      1 root      20   0   25116  15600  10864 S   0.0   0.5   0:14.10 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.17 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:02.01 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:15.18 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.03 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.04 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.95 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:02.66 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:02.73 ksoftir+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kdevtmp+
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kauditd
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.26 khungta+
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root      20   0       0      0      0 S   0.0   0.0   0:11.12 kcompac+
     41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     56 root      20   0       0      0      0 S   0.0   0.0   0:01.80 kswapd0
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     59 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     60 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker+
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    194 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    196 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    198 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    200 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    202 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    204 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    205 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    206 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    207 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    208 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    210 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    212 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    214 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    216 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    218 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    220 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    221 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    222 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    223 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    224 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    225 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    226 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    228 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
